name,year,company_id,company_name,company_url,company_country,company_startyear
Racing Lagoon,1999,250,Square,https://www.igdb.com/companies/square,Japan,1983
Radiant Historia,2010,818,Atlus,https://www.igdb.com/companies/atlus,Japan,1986
Radiant Historia,2010,2488,Atlus USA,https://www.igdb.com/companies/atlus-usa,United States,1991
Radiant Historia,2010,12367,Headlock,https://www.igdb.com/companies/headlock,,
Radiant Silvergun,1998,112,Sega,https://www.igdb.com/companies/sega,Japan,2020
Radiant Silvergun,1998,1794,ESP,https://www.igdb.com/companies/esp,,
Radiant Silvergun,1998,861,Treasure,https://www.igdb.com/companies/treasure,Japan,
Radiata Stories,2005,1983,tri-Ace,https://www.igdb.com/companies/tri-ace,Japan,1995
Radiata Stories,2005,1913,tri-Crescendo,https://www.igdb.com/companies/tri-crescendo,Japan,1999
Radiata Stories,2005,26,Square Enix,https://www.igdb.com/companies/square-enix,Japan,2003
Rage,2011,73,Aspyr Media,https://www.igdb.com/companies/aspyr-media,United States,1996
Rage,2011,184,id Software,https://www.igdb.com/companies/id-software,United States,1991
Rage,2011,16565,Bethesda Softworks,https://www.igdb.com/companies/bethesda-softworks,United States,1986
Raiden Fighters Aces,2008,1052,Valcon Games,https://www.igdb.com/companies/valcon-games,,
Raiden Fighters Aces,2008,313,Success Corporation,https://www.igdb.com/companies/success-corporation,Japan,1978
Raiden Fighters Aces,2008,2987,Guilti,https://www.igdb.com/companies/guilti,,
Raiden IV,2008,817,Taito,https://www.igdb.com/companies/taito,Japan,1969
Raiden IV,2008,3014,"MOSS Co., Ltd.",https://www.igdb.com/companies/moss-co-dot-ltd,Japan,1993
Raiden IV,2008,2100,UFO Interactive Software,https://www.igdb.com/companies/ufo-interactive-software,,
Raiders of the Lost Ark,1981,82,Atari,https://www.igdb.com/companies/atari,United States,1972
Railroad Tycoon 3,2003,204,Gathering of Developers,https://www.igdb.com/companies/gathering-of-developers,United States,1998
Railroad Tycoon 3,2003,207,PopTop Software,https://www.igdb.com/companies/poptop-software,United States,1993
Rampage 2: Universal Tour,1999,1309,Avalanche Software,https://www.igdb.com/companies/avalanche-software,United States,1995
Rampage 2: Universal Tour,1999,566,Midway,https://www.igdb.com/companies/midway,United States,1988
Rampage: Total Destruction,2006,566,Midway,https://www.igdb.com/companies/midway,United States,1988
Rampage: Total Destruction,2006,680,Pipeworks Software,https://www.igdb.com/companies/pipeworks-software,United States,1999
Rare Replay,2015,1010,Microsoft Studios,https://www.igdb.com/companies/microsoft-studios,,2011
Rare Replay,2015,771,Rare,https://www.igdb.com/companies/rare,United Kingdom,1985
Rare Replay,2015,33566,4th Kernel Studios,https://www.igdb.com/companies/4th-kernel-studios,,
Rare Replay,2015,7700,Code Mystics,https://www.igdb.com/companies/code-mystics,,
Rare Replay,2015,4449,Sprung Studios,https://www.igdb.com/companies/sprung-studios,Canada,2005
Rascal,1998,292,Traveller's Tales,https://www.igdb.com/companies/traveller-s-tales,United Kingdom,1989
Rascal,1998,764,Psygnosis,https://www.igdb.com/companies/psygnosis,United Kingdom,1984
Ratchet & Clank Future: A Crack in Time,2009,834,Insomniac Games,https://www.igdb.com/companies/insomniac-games,United States,1994
Ratchet & Clank Future: A Crack in Time,2009,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
Ratchet & Clank Future: Quest for Booty,2008,834,Insomniac Games,https://www.igdb.com/companies/insomniac-games,United States,1994
Ratchet & Clank Future: Quest for Booty,2008,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
Ratchet & Clank Future: Tools of Destruction,2007,834,Insomniac Games,https://www.igdb.com/companies/insomniac-games,United States,1994
Ratchet & Clank Future: Tools of Destruction,2007,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
Ratchet & Clank: All 4 One,2011,834,Insomniac Games,https://www.igdb.com/companies/insomniac-games,United States,1994
