name,year,company_id,company_name,company_url,company_country,company_startyear
Suikoden V,2006,129,Konami,https://www.igdb.com/companies/konami,Japan,1969
Suikoden V,2006,864,Hudson Soft,https://www.igdb.com/companies/hudson-soft,Japan,1973
Suikoden V,2006,129,Konami,https://www.igdb.com/companies/konami,Japan,1969
Summon Night 6: Lost Borders,2016,2676,Media.Vision,https://www.igdb.com/companies/media-vision,,
Summon Night 6: Lost Borders,2016,3055,Felistella,https://www.igdb.com/companies/felistella,,
Summon Night 6: Lost Borders,2016,6959,Gaijinworks,https://www.igdb.com/companies/gaijinworks,United States,2006
Summon Night 6: Lost Borders,2016,248,Bandai Namco Entertainment,https://www.igdb.com/companies/bandai-namco-entertainment,Japan,2015
Summoner,2000,197,THQ,https://www.igdb.com/companies/thq,United States,1989
Summoner,2000,7462,Volition,https://www.igdb.com/companies/volition,United States,1993
Summoner,2000,523,Graphsim Entertainment,https://www.igdb.com/companies/graphsim-entertainment,,
Summoner 2,2002,197,THQ,https://www.igdb.com/companies/thq,United States,1989
Summoner 2,2002,7462,Volition,https://www.igdb.com/companies/volition,United States,1993
Sunset Overdrive,2014,834,Insomniac Games,https://www.igdb.com/companies/insomniac-games,United States,1994
Sunset Overdrive,2014,1010,Microsoft Studios,https://www.igdb.com/companies/microsoft-studios,,2011
Super Adventure Island,1992,864,Hudson Soft,https://www.igdb.com/companies/hudson-soft,Japan,1973
Super Army War,2005,2488,Atlus USA,https://www.igdb.com/companies/atlus-usa,United States,1991
Super Army War,2005,1933,Neko Entertainment,https://www.igdb.com/companies/neko-entertainment,France,1999
Super Bomberman 4,1996,864,Hudson Soft,https://www.igdb.com/companies/hudson-soft,Japan,1973
Super Castlevania IV,1991,129,Konami,https://www.igdb.com/companies/konami,Japan,1969
Super Dragon Ball Z,2006,1220,Crafts & Meister,https://www.igdb.com/companies/crafts-meister,Japan,2004
Super Dragon Ball Z,2006,1215,Banpresto,https://www.igdb.com/companies/banpresto,Japan,1989
Super Dragon Ball Z,2006,36897,Arika,https://www.igdb.com/companies/arika,,
Super Dragon Ball Z,2006,6330,Namco Bandai Games,https://www.igdb.com/companies/namco-bandai-games,Japan,2006
Super Mario 3D Land,2011,421,Nintendo EAD,https://www.igdb.com/companies/nintendo-ead,Japan,1989
Super Mario 3D Land,2011,1866,Brownie Brown,https://www.igdb.com/companies/brownie-brown,Japan,2000
Super Mario 3D Land,2011,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Super Mario 3D Land,2011,5163,iQue,https://www.igdb.com/companies/ique,,
Super Mario 3D World,2013,2910,1-UP Studio,https://www.igdb.com/companies/1-up-studio,Japan,2000
Super Mario 3D World,2013,421,Nintendo EAD,https://www.igdb.com/companies/nintendo-ead,Japan,1989
Super Mario 3D World,2013,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Super Mario 64,1996,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Super Mario 64,1996,421,Nintendo EAD,https://www.igdb.com/companies/nintendo-ead,Japan,1989
Super Mario 64,1996,33804,Playtronic,https://www.igdb.com/companies/playtronic,Brazil,1993
Super Mario 64,1996,812,Gradiente,https://www.igdb.com/companies/gradiente,Brazil,1969
Super Mario Advance,2001,1774,Nintendo R&D2,https://www.igdb.com/companies/nintendo-r-d2,Japan,1970
Super Mario Advance,2001,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Super Mario Advance,2001,812,Gradiente,https://www.igdb.com/companies/gradiente,Brazil,1969
Super Mario Advance,2001,5163,iQue,https://www.igdb.com/companies/ique,,
Super Mario All-Stars,1993,421,Nintendo EAD,https://www.igdb.com/companies/nintendo-ead,Japan,1989
Super Mario All-Stars,1993,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Super Mario All-Stars,1993,33804,Playtronic,https://www.igdb.com/companies/playtronic,Brazil,1993
Super Mario All-Stars,1993,32350,Hyundai,https://www.igdb.com/companies/hyundai,,
Super Mario Bros.,1985,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Super Mario Bros.,1985,32471,Nintendo R&D4,https://www.igdb.com/companies/nintendo-r-and-d4,Japan,1983
Super Mario Bros.,1985,33804,Playtronic,https://www.igdb.com/companies/playtronic,Brazil,1993
Super Mario Bros. 2,1988,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Super Mario Bros. 2,1988,32471,Nintendo R&D4,https://www.igdb.com/companies/nintendo-r-and-d4,Japan,1983
Super Mario Bros. 2,1988,33804,Playtronic,https://www.igdb.com/companies/playtronic,Brazil,1993
Super Mario Bros. 3,1988,32471,Nintendo R&D4,https://www.igdb.com/companies/nintendo-r-and-d4,Japan,1983
Super Mario Bros. 3,1988,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Super Mario Bros. 3,1988,33804,Playtronic,https://www.igdb.com/companies/playtronic,Brazil,1993
Super Mario Bros.: The Lost Levels,1986,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Super Mario Bros.: The Lost Levels,1986,32471,Nintendo R&D4,https://www.igdb.com/companies/nintendo-r-and-d4,Japan,1983
Super Mario Galaxy,2007,421,Nintendo EAD,https://www.igdb.com/companies/nintendo-ead,Japan,1989
Super Mario Galaxy,2007,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
